u,v,dist
4983806799,6715305172,49.1295688269
4983806799,6715305173,26.8792555838
6715305173,4983806799,26.8792555838
6715305173,4983821335,240.68806704
4983821335,6715305173,240.68806704
4977091812,4977091766,11.2923236802
4977091766,4977091812,11.2923236802
4977091766,4977091780,122.191027176
4977091780,4977091766,122.191027176
4977091780,4977091742,60.1757536609
4977091742,4977091780,60.1757536609
4977091742,4977091777,65.2467615817
4977091777,4977091742,65.2467615817
4977091777,4977091778,17.8480164333
4977091778,4977091777,17.8480164333
4977091778,4977091624,120.773543108
4977091624,4977091778,120.773543108
4977091624,4977091782,161.121737184
4977091782,4977091624,161.121737184
4979009370,4979001610,98.3681085145
4979001610,4979009370,98.3681085145
4979001610,4978976931,12.6364140475
4978976931,4979001610,12.6364140475
4978976931,4978982945,235.065218605
4978982945,4978976931,235.065218605
4979124012,4979124456,131.199123073
4979124456,4979124012,131.199123073
4976867957,4976867956,19.8740363517
4976867956,4976867957,19.8740363517
4976867956,5253826085,171.191814808
5253826085,4976867956,171.191814808
5253826085,4976867954,108.8035693
4976867954,5253826085,108.8035693
7085638952,7085638951,186.752640634
7085638951,7085638952,186.752640634
6869065464,6869065463,43.971828016
6869065463,6869065464,43.971828016
1364513223,1364513098,86.7667757464
1364513098,1364513223,86.7667757464
4979091428,4979098255,52.7393846456
4979098255,4979091428,52.7393846456
4979098255,4979098629,33.6092119971
4979098629,4979098255,33.6092119971
4979260833,5789025764,61.8671955228
5789025764,4979260833,61.8671955228
4976595820,4976595809,307.133939486
4976595809,4976595820,307.133939486
4892939106,4892939105,78.9637061512
4892939105,4892939106,78.9637061512
4892939105,4892939104,22.9217492626
4892939104,4892939105,22.9217492626
4892939104,4892939103,63.2092593771
4892939103,4892939104,63.2092593771
4892939103,4892939102,42.6603113005
4892939102,4892939103,42.6603113005
4892939102,4978917974,165.323122637
4978917974,4892939102,165.323122637
4978917974,4892939109,92.5670856052
4892939109,4978917974,92.5670856052
4892939109,4892939094,148.032798382
4892939094,4892939109,148.032798382
4983814015,4983814296,179.695451229
4983814296,4983814015,179.695451229
4983814296,4983813988,77.5891533779
4983813988,4983814296,77.5891533779
4994124865,4994124870,179.544626595
4994124870,4994124865,179.544626595
4994124870,4994124871,126.635729933
4994124871,4994124870,126.635729933
4994124871,4976595791,31.2620348806
4976595791,4994124871,31.2620348806
1364340634,1364340422,84.6995095625
1364340422,1364340634,84.6995095625
1364340422,1364340463,19.2167188106
1364340463,1364340422,19.2167188106
1364588707,4976515386,129.460529557
4976515386,1364588707,129.460529557
4976515386,1364588879,47.6053213258
1364588879,4976515386,47.6053213258
1364588879,4976541529,96.4823556095
4976541529,1364588879,96.4823556095
4976541529,4976541531,47.4510293343
4976541531,4976541529,47.4510293343
4976541531,4976541535,41.8959575858
4976541535,4976541531,41.8959575858
4976541535,1364589030,236.0685469
1364589030,4976541535,236.0685469
1364589030,4976509472,49.7684901618
4976509472,1364589030,49.7684901618
4976509472,1364588659,63.4180760706
1364588659,4976509472,63.4180760706
1364588659,1364588837,67.4366742445
1364588837,1364588659,67.4366742445
1364588837,1364588729,288.275605223
1364588729,1364588837,288.275605223
4979128312,4979128670,124.84865973
4979128670,4979128312,124.84865973
4979149921,4979142617,107.388786747
4979142617,4979149921,107.388786747
4974677885,4974677886,108.750772098
4974677886,4974677885,108.750772098
4974677886,4974677887,128.20936546
